0.005,95.9
0.01,60.7
0.015,53.0
0.02,45.6
0.025,49.6
0.03,54.8
0.035,44.4
0.04,42.0
0.045,49.6
0.05,52.3
0.055,42.5
0.06,50.1
0.065,51.6
0.07,45.1
0.075,42.2
0.08,48.4
0.085,42.4
0.09,48.6
0.095,49.1
0.1,50.6
0.105,45.0
0.11,42.4
0.115,48.9
0.12,41.4
0.125,50.1
0.13,47.9
0.135,47.7
0.14,44.2
0.145,48.0
0.15,49.2
0.155,42.8
0.16,49.1
0.165,47.2
0.17,42.1
0.175,51.0
0.18,46.9
0.185,43.8
0.19,48.9
0.195,50.4
0.2,42.7
0.205,49.6
0.21,52.2
0.215,44.0
0.22,42.2
0.225,48.9
0.23,50.1
0.235,41.9
0.24,49.3
0.245,48.6
0.25,53.0
